,hrefs
314,http://ufcstats.com/fighter-details/6104730621ff318d
315,http://ufcstats.com/fighter-details/436f970c9ea9169c
316,http://ufcstats.com/fighter-details/8dc4f34c1f50d00d
317,http://ufcstats.com/fighter-details/c3ac8d0da7b05772
318,http://ufcstats.com/fighter-details/404ecb2700844072
319,http://ufcstats.com/fighter-details/5431dccc09118234
320,http://ufcstats.com/fighter-details/a30f6d375dea5f9b
321,http://ufcstats.com/fighter-details/20999e27ddd94bda
322,http://ufcstats.com/fighter-details/a25f3dc0df974597
323,http://ufcstats.com/fighter-details/592d23aed850e652
324,http://ufcstats.com/fighter-details/21b1132949f2a9b0
325,http://ufcstats.com/fighter-details/aa8189053b3a8994
326,http://ufcstats.com/fighter-details/2891c9f7b26b26fc
327,http://ufcstats.com/fighter-details/e3779ef06e98f185
328,http://ufcstats.com/fighter-details/6f242453c91a5af0
329,http://ufcstats.com/fighter-details/2dc1bc1a02961656
330,http://ufcstats.com/fighter-details/5b2325cd70dbe2ea
331,http://ufcstats.com/fighter-details/b3bbe88fecd6a0d2
332,http://ufcstats.com/fighter-details/0b935b9bbbe5fc07
333,http://ufcstats.com/fighter-details/0db70ca89e1c7374
334,http://ufcstats.com/fighter-details/66766984842c13dc
335,http://ufcstats.com/fighter-details/aebfb84d1f6d2d8c
336,http://ufcstats.com/fighter-details/8ba8e8d7eafa7267
337,http://ufcstats.com/fighter-details/3f24c96753dbd9f9
338,http://ufcstats.com/fighter-details/0b8d512c79b4baf3
339,http://ufcstats.com/fighter-details/e05f4ce199baca91
340,http://ufcstats.com/fighter-details/a524710c3ef918fa
341,http://ufcstats.com/fighter-details/7e511f8d842a109d
342,http://ufcstats.com/fighter-details/9cd047a828dd7515
343,http://ufcstats.com/fighter-details/87f19d19f4cb73f8
344,http://ufcstats.com/fighter-details/1efa064872f089d0
345,http://ufcstats.com/fighter-details/b3b6e80b7d5f8f0d
346,http://ufcstats.com/fighter-details/53f02bbc41d99432
347,http://ufcstats.com/fighter-details/c5a126ace82a6025
348,http://ufcstats.com/fighter-details/8a22c6b4d29880a3
349,http://ufcstats.com/fighter-details/2b93ebd9f5417ad2
350,http://ufcstats.com/fighter-details/7a359ef685a304a7
351,http://ufcstats.com/fighter-details/a653cb5eb4b39339
352,http://ufcstats.com/fighter-details/27ab7257bf6a3b65
353,http://ufcstats.com/fighter-details/99df7d0a2a08a8a8
354,http://ufcstats.com/fighter-details/b2f743746e8dcfa2
355,http://ufcstats.com/fighter-details/7e69a4b0961aa555
356,http://ufcstats.com/fighter-details/619d807fa54ae8f7
357,http://ufcstats.com/fighter-details/2adb11835acd815b
358,http://ufcstats.com/fighter-details/0e5c79b3594ff0ad
359,http://ufcstats.com/fighter-details/669970f7feba8ecd
360,http://ufcstats.com/fighter-details/4a1329cc8eb0928a
361,http://ufcstats.com/fighter-details/ebf298f8ac7e232b
362,http://ufcstats.com/fighter-details/fa6796c55d6c5440
363,http://ufcstats.com/fighter-details/35d6337320a4ae48
364,http://ufcstats.com/fighter-details/ecdf14f4f8643d39
365,http://ufcstats.com/fighter-details/046a85108610c0d2
366,http://ufcstats.com/fighter-details/f348d05403fad037
367,http://ufcstats.com/fighter-details/cf9d24e4bd0cf2ce
368,http://ufcstats.com/fighter-details/c5af5750e8bae4f0
369,http://ufcstats.com/fighter-details/984d15d5dc7bfcf9
370,http://ufcstats.com/fighter-details/1afd74f8cb0719f3
371,http://ufcstats.com/fighter-details/c80095f6092271a7
372,http://ufcstats.com/fighter-details/8a56ea383fd26e52
373,http://ufcstats.com/fighter-details/53c21779d84ceb75
374,http://ufcstats.com/fighter-details/d61316139d68dbe3
375,http://ufcstats.com/fighter-details/70a1c7626b5e0599
376,http://ufcstats.com/fighter-details/93892752c5fc23ca
377,http://ufcstats.com/fighter-details/297a2b35444c245b
378,http://ufcstats.com/fighter-details/d227958e8a0c1466
379,http://ufcstats.com/fighter-details/9d455d5cfe6a0e35
380,http://ufcstats.com/fighter-details/2526be54e6a0e62a
381,http://ufcstats.com/fighter-details/8691881b31c16b88
382,http://ufcstats.com/fighter-details/702a72aa7a266d86
383,http://ufcstats.com/fighter-details/934de214814b8ff4
384,http://ufcstats.com/fighter-details/d311fbefff44a39b
385,http://ufcstats.com/fighter-details/c6a33ff198aaaeeb
386,http://ufcstats.com/fighter-details/07a2bdaa0afdd831
387,http://ufcstats.com/fighter-details/a4de54ea806fb525
388,http://ufcstats.com/fighter-details/0313bf497de9c470
389,http://ufcstats.com/fighter-details/3c85e04b08a05751
390,http://ufcstats.com/fighter-details/4126a78111c0855a
391,http://ufcstats.com/fighter-details/04c8b08b16a5b99e
392,http://ufcstats.com/fighter-details/e023fa2e648ea0f1
393,http://ufcstats.com/fighter-details/e8fb8e53bc2e29d6
394,http://ufcstats.com/fighter-details/239224bedeb2c7a4
395,http://ufcstats.com/fighter-details/5c126c6aac3ef364
396,http://ufcstats.com/fighter-details/545d549d6bf87187
397,http://ufcstats.com/fighter-details/59851163aaf1aed8
398,http://ufcstats.com/fighter-details/2aaf0181432adf0b
399,http://ufcstats.com/fighter-details/611b9c068c9e2c44
400,http://ufcstats.com/fighter-details/dfdd0c5dd0d4bc23
401,http://ufcstats.com/fighter-details/38b1417ec17072da
402,http://ufcstats.com/fighter-details/2efbc83a6b9b7f86
403,http://ufcstats.com/fighter-details/81ca2c245b19b3c5
404,http://ufcstats.com/fighter-details/5488b3c67600333a
405,http://ufcstats.com/fighter-details/b26d3e3746fb4024
406,http://ufcstats.com/fighter-details/3b9f723e2720a238
407,http://ufcstats.com/fighter-details/a95a0504fd73bd3e
408,http://ufcstats.com/fighter-details/8a0a35e7c74bebcc
409,http://ufcstats.com/fighter-details/1433786ac76cf777
410,http://ufcstats.com/fighter-details/a6959da32f0e6b5d
411,http://ufcstats.com/fighter-details/c7011de4765d2497
412,http://ufcstats.com/fighter-details/45f7cb591c3ab00b
413,http://ufcstats.com/fighter-details/dc950d59dc590aca
414,http://ufcstats.com/fighter-details/3d074044a33825e7
415,http://ufcstats.com/fighter-details/013da757877044a2
416,http://ufcstats.com/fighter-details/d2c55d1d2e67773b
417,http://ufcstats.com/fighter-details/c2e3e67b5911bfb7
418,http://ufcstats.com/fighter-details/dc63542668295c23
419,http://ufcstats.com/fighter-details/9c44f290f5726d95
420,http://ufcstats.com/fighter-details/d80ee110748171ac
421,http://ufcstats.com/fighter-details/1588b787bda7b540
422,http://ufcstats.com/fighter-details/b19fc66613dc75b9
423,http://ufcstats.com/fighter-details/98f6da59d765ec94
424,http://ufcstats.com/fighter-details/e319d6697d41f3cf
425,http://ufcstats.com/fighter-details/106a925d947a0de9
426,http://ufcstats.com/fighter-details/11547e29f253fb89
427,http://ufcstats.com/fighter-details/497ba5b12a4bfc47
428,http://ufcstats.com/fighter-details/81801f57bd0a7c41
429,http://ufcstats.com/fighter-details/cf1a88371c8cb690
430,http://ufcstats.com/fighter-details/01fcef7e3d051722
431,http://ufcstats.com/fighter-details/3a97fda0de6f1fa4
432,http://ufcstats.com/fighter-details/791c8437b341fba5
433,http://ufcstats.com/fighter-details/2833f50b20e96e52
434,http://ufcstats.com/fighter-details/aa571d75f80fde7d
435,http://ufcstats.com/fighter-details/df3c39573d01f55b
436,http://ufcstats.com/fighter-details/b0a6124751a56bc4
437,http://ufcstats.com/fighter-details/b6e6c3b1dcaae0a1
438,http://ufcstats.com/fighter-details/81d9df19e255b8b6
439,http://ufcstats.com/fighter-details/a7d687e6ecb30981
440,http://ufcstats.com/fighter-details/0974d8d4053a7237
441,http://ufcstats.com/fighter-details/31123249b0bbf52e
442,http://ufcstats.com/fighter-details/e0b74df14f52cd15
443,http://ufcstats.com/fighter-details/52b3ec072ad497a4
444,http://ufcstats.com/fighter-details/9b68bf67c5695185
445,http://ufcstats.com/fighter-details/85df85a4e276c90e
446,http://ufcstats.com/fighter-details/9e2624ac992660c6
447,http://ufcstats.com/fighter-details/880c6b788266a3ef
448,http://ufcstats.com/fighter-details/c6aee362c7a7d482
449,http://ufcstats.com/fighter-details/d024ed963e8bf7ea
450,http://ufcstats.com/fighter-details/d31cbcdd7d69536d
451,http://ufcstats.com/fighter-details/e9e7e1c8ff289e1b
452,http://ufcstats.com/fighter-details/3236bf606fe9fa5b
453,http://ufcstats.com/fighter-details/d74cba8566291bfa
454,http://ufcstats.com/fighter-details/d1dcd4e96464a53d
455,http://ufcstats.com/fighter-details/5f8e00c27b7e7410
456,http://ufcstats.com/fighter-details/f14f644d41ade29f
457,http://ufcstats.com/fighter-details/2f3f12002564bb55
458,http://ufcstats.com/fighter-details/b8c0f30ee9a98b69
459,http://ufcstats.com/fighter-details/b1a3e0aca758b322
460,http://ufcstats.com/fighter-details/01f022fa494188e2
461,http://ufcstats.com/fighter-details/3b17353b8002c7d0
462,http://ufcstats.com/fighter-details/0c25d0a5e8cdbf19
463,http://ufcstats.com/fighter-details/231926533134ec1f
464,http://ufcstats.com/fighter-details/6bbb8dc6e128779e
465,http://ufcstats.com/fighter-details/3feed7d02711d8b7
466,http://ufcstats.com/fighter-details/b9437600497350f3
