,event,date,location,event_url
95,UFC Fight Night: Barboza vs. Gaethje," March 30, 2019"," Philadelphia, Pennsylvania, US",http://ufcstats.com/event-details/9649d75defe0dedb
96,UFC Fight Night: Thompson vs. Pettis," March 23, 2019"," Nashville, Tennessee, US",http://ufcstats.com/event-details/487c170da059857d
97,UFC Fight Night: Till vs. Masvidal," March 16, 2019"," London, England, United Kingdom",http://ufcstats.com/event-details/80eacd4da0617c57
98,UFC Fight Night: Lewis vs. Dos Santos," March 09, 2019"," Wichita, Kansas, US",http://ufcstats.com/event-details/e96d8538d3f9d0ed
99,UFC 235: Jones vs. Smith," March 02, 2019"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/2d5fbe2103f97053
100,UFC Fight Night: Blachowicz vs. Santos," February 23, 2019"," Prague, Czech Republic",http://ufcstats.com/event-details/6546af7ab545b90c
101,UFC Fight Night: Ngannou vs. Velasquez," February 17, 2019"," Phoenix, Arizona, US",http://ufcstats.com/event-details/a7a79b8efbceaaac
102,UFC 234: Adesanya vs. Silva," February 09, 2019"," Melbourne, Victoria, Australia",http://ufcstats.com/event-details/b5882371e2a3900d
103,UFC Fight Night: Assuncao vs. Moraes 2," February 02, 2019"," Fortaleza, Ceara, Brazil",http://ufcstats.com/event-details/84283233ec42be5f
104,UFC Fight Night: Cejudo vs. Dillashaw," January 19, 2019"," Brooklyn, New York, US",http://ufcstats.com/event-details/d4da8995fc91e7ef
105,UFC 232: Jones vs. Gustafsson 2," December 29, 2018"," Los Angeles, California, US",http://ufcstats.com/event-details/c046100aea0dba9a
106,UFC Fight Night: Lee vs. Iaquinta," December 15, 2018"," Milwaukee, Wisconsin, US",http://ufcstats.com/event-details/7a703c565ccaa18f
107,UFC 231: Holloway vs. Ortega," December 08, 2018"," Toronto, Ontario, Canada",http://ufcstats.com/event-details/2a74bbba57058f12
108,UFC Fight Night: Dos Santos vs. Tuivasa," December 01, 2018"," Adelaide, South Australia, Australia",http://ufcstats.com/event-details/d1d20e651e6cbc02
109,The Ultimate Fighter: Heavy Hitters Finale," November 30, 2018"," Las Vegas, Nevada, US",http://ufcstats.com/event-details/c7ac79839e86ce33
110,UFC Fight Night: Blaydes vs. Ngannou 2," November 24, 2018"," Beijing, China",http://ufcstats.com/event-details/de25520d54eab12d
111,UFC Fight Night: Magny vs. Ponzinibbio," November 17, 2018"," Buenos Aires, Buenos Aires, Argentina",http://ufcstats.com/event-details/aa3153a9941b4d44
